,history,n
1483,bundle,13
1484,bundle branch,13
1485,bundle branch block,13
1486,chf copd,13
1487,cholesterol abnormal blood,13
1488,clots,13
1489,compression,13
1490,controlled meds,13
1491,d deficiency unspecified,13
1492,damage,13
1493,danlos,13
1494,december,13
1495,dementia behavioral,13
1496,diagnosis admission,13
1497,disorder depression,13
1498,ef,13
1499,ehlers,13
1500,ehlers danlos,13
1501,f unspecified,13
1502,failure diabetes,13
1503,fasting glucose,13
1504,fibrillation hypertension,13
1505,full,13
1506,got,13
1507,heart failure diabetes,13
1508,hemiparesis,13
1509,hemorrhoids,13
1510,high covid,13
1511,hormone,13
1512,hpv,13
1513,htn afib,13
1514,hypertension hypothyroid,13
1515,hypertensive heart,13
1516,hypothyroidism osteoporosis,13
1517,hypothyroidism penicillin,13
1518,hypothyroidism penicillin allergy,13
1519,including,13
1520,information,13
1521,initial,13
1522,involving,13
1523,irregular heart,13
1524,jan,13
1525,known allergies sulfa,13
1526,localized,13
1527,lymphocytic leukemia,13
1528,mellitus without complications,13
1529,milk allergy,13
1530,minor,13
1531,mouth,13
1532,nausea,13
1533,need,13
1534,nodes,13
1535,nonalcoholic,13
1536,obesity depression,13
1537,occlusion,13
1538,orthostatic tachycardia,13
1539,orthostatic tachycardia syndrome,13
1540,penicillin allergy allergies,13
1541,pneumonia unspecified organism,13
1542,postural,13
1543,pressure high covid,13
1544,pressure high high,13
1545,pressure thyroid,13
1546,prostatic hypertrophy,13
1547,rectal,13
1548,replaced,13
1549,resistance,13
1550,respiratory disorder,13
1551,routine,13
1552,screening,13
1553,sensorineural hearing,13
1554,sensorineural hearing loss,13
1555,sepsis,13
1556,simplex,13
1557,sinus tachycardia,13
1558,slight,13
1559,squamous cell carcinoma,13
1560,st,13
1561,subdural,13
1562,surgeries,13
1563,tachycardia syndrome,13
1564,throat,13
1565,toe,13
1566,trigeminal neuralgia,13
1567,unspecified unspecified,13
1568,update f,13
1569,vaccination diagnosed covid,13
1570,ventricular contractions,13
1571,walking elsewhere classified,13
1572,week,13
1573,acid reflux oesophageal,12
1574,alcohol abuse,12
1575,allergy seasonal allergy,12
1576,anxiety migraines,12
1577,arrest,12
1578,associated,12
1579,asthma allergic rhinitis,12
1580,asthma blood pressure,12
1581,asthma environmental allergies,12
1582,asthma mild,12
1583,atypical,12
1584,autism,12
1585,av,12
1586,back surgery,12
1587,bariatric surgery,12
1588,baseline,12
1589,blindness,12
1590,blood pressure anxiety,12
1591,breast cancer female,12
1592,breast cancer survivor,12
1593,cad ckd,12
1594,cancer female,12
1595,cataracts,12
1596,cats,12
1597,chf htn,12
1598,childhood asthma,12
1599,constipation unspecified,12
1600,convulsions,12
1601,coronary atherosclerosis,12
1602,covid diagnosed,12
1603,covid positive,12
1604,d anemia,12
1605,d anemia unspecified,12
1606,d def,12
1607,dementia behavioral disturbance,12
1608,diabetic high,12
1609,diabetic type,12
1610,dysphagia oropharyngeal,12
1611,dysphagia oropharyngeal phase,12
1612,dysphagia unspecified,12
1613,dysplasia,12
1614,elbow,12
1615,facility,12
1616,fibroids,12
1617,form,12
1618,gangrene,12
1619,generalized r,12
1620,good,12
1621,hay,12
1622,heart failure kidney,12
1623,herpes simplex,12
1624,hip pain,12
1625,hx breast,12
1626,hypercholesteremia,12
1627,hypertension atrial,12
1628,hypertension atrial fibrillation,12
1629,hypertension hypercholesterolemia,12
1630,hypertriglyceridemia,12
1631,iga,12
1632,ii dm,12
1633,impaired fasting glucose,12
1634,initial encounter,12
1635,insulin dependent,12
1636,insulin resistance,12
1637,intestine,12
1638,ischemic heart,12
1639,january,12
1640,knee replacement,12
1641,legs syndrome,12
1642,lymph nodes,12
1643,managed,12
1644,migraine aura,12
1645,migraines anxiety,12
1646,mite,12
1647,mitral valve regurgitation,12
1648,myasthenia,12
1649,myasthenia gravis,12
1650,myopia,12
1651,nephropathy,12
1652,nerve pain,12
1653,neurogenic,12
1654,nickel,12
1655,nstemi,12
1656,nursing,12
1657,oesophageal,12
1658,oropharyngeal phase,12
1659,osteoarthritis left,12
1660,peptic,12
1661,peptic ulcer,12
1662,pernicious,12
1663,pernicious anemia,12
1664,personal covid,12
1665,physical,12
1666,polycythemia,12
1667,positive covid,12
1668,posttraumatic,12
1669,premature ventricular,12
1670,premature ventricular contractions,12
1671,pressure anxiety,12
1672,pressure arthritis,12
1673,probably,12
1674,provider,12
1675,reactions,12
1676,recovered,12
1677,reduced,12
1678,reflux oesophageal,12
1679,remote,12
1680,restless legs syndrome,12
1681,risk,12
1682,rls,12
1683,schizoaffective disorder,12
1684,seafood allergy,12
1685,shunt,12
1686,slightly,12
1687,sulfa drugs,12
1688,tobacco use,12
1689,tract symptoms,12
1690,type diabetes hypertension,12
1691,type ii dm,12
1692,uncomplicated,12
1693,urinary retention,12
1694,urinary tract symptoms,12
1695,use anticoagulants,12
1696,varicose,12
1697,vasculitis,12
1698,weakness generalized r,12
1699,yrs ago,12
1700,adhd anxiety,11
1701,adjustment,11
1702,agerelated macular,11
1703,agerelated macular degeneration,11
1704,allergies depression,11
1705,ana,11
1706,anemic,11
1707,antibiotics,11
1708,antibodies,11
1709,anticoagulant therapy,11
1710,artery hypertension,11
1711,arthritis diabetes,11
1712,artificial,11
1713,aspirin,11
1714,asthma arthritis,11
1715,asthma controlled,11
1716,asthma copd,11
1717,atrial flutter,11
1718,back problems,11
1719,blood pressure arthritis,11
1720,bone density,11
1721,bronchiectasis,11
1722,calculus,11
1723,cardiac arrest,11
1724,cardiac arrhythmia,11
1725,cholecystectomy,11
1726,cholesterol hypothyroidism,11
1727,cirrhosis liver,11
1728,class,11
1729,concussion,11
1730,copd chf,11
1731,copd hypertension,11
1732,copd obstructive,11
1733,copd obstructive pulmonary,11
1734,coronary artery hypertension,11
1735,current pathological,11
1736,defect,11
1737,deficits,11
1738,dementia htn,11
1739,density,11
1740,diabetes kidney,11
1741,digestive,11
1742,disk,11
1743,disorder nos,11
1744,dissection,11
1745,dose,11
1746,dust mite,11
1747,enlarged prostate,11
1748,episode unspecified,11
1749,erythematosus,11
1750,essential hypertension hyperlipidemia,11
1751,every,11
1752,fluid,11
1753,food allergies,11
1754,found,11
1755,gall,11
1756,gerd hypothyroidism,11
1757,gland,11
1758,gluten sensitivity,11
1759,gout hypertension,11
1760,hay fever,11
1761,hematoma,11
1762,hemiplegia hemiparesis,11
1763,hep c,11
1764,hepatitis b,11
1765,high cholesterol hypothyroidism,11
1766,hodgkins lymphoma,11
1767,htn bph,11
1768,hx covid,11
1769,hx stroke,11
1770,hypertension cad,11
1771,hypertension insomnia,11
1772,hypertension migraine,11
1773,hypertension sleep,11
1774,hypo thyroid,11
1775,hypomagnesemia,11
1776,hypothyroid hypertension,11
1777,interstitial lung,11
1778,know,11
1779,known allergies penicillin,11
1780,knownallergies,11
1781,lack,11
1782,left breast,11
1783,left foot,11
1784,left lower,11
1785,life,11
1786,lipids,11
1787,long time,11
1788,lower back pain,11
1789,lupus erythematosus,11
1790,mdd,11
1791,metabolic syndrome,11
1792,migraines asthma,11
1793,mold,11
1794,mrsa,11
1795,muscular,11
1796,myelopathy,11
1797,nervous,11
1798,node,11
1799,nothing,11
1800,october,11
1801,ovarian cyst,11
1802,pacemaker insertion,11
1803,pain right,11
1804,papillary,11
1805,papillary thyroid,11
1806,pathological,11
1807,penicillin allergy known,11
1808,physiological,11
1809,placed,11
1810,pmh,11
1811,poor,11
1812,posttraumatic stress,11
1813,posttraumatic stress disorder,11
1814,postural orthostatic,11
1815,postural orthostatic tachycardia,11
1816,pre diabetes,11
1817,psoriasis psoriatic,11
1818,psoriasis psoriatic arthritis,11
1819,pure,11
1820,remission years,11
1821,repeated,11
1822,repeated falls,11
1823,resident,11
1824,retinal,11
1825,right shoulder,11
1826,said,11
1827,second,11
1828,similar,11
1829,single episode unspecified,11
1830,spasm,11
1831,stress disorder,11
1832,stroke years,11
1833,systemic lupus,11
1834,systolic congestive heart,11
1835,systolic heart,11
1836,systolic heart failure,11
1837,tb,11
1838,three,11
1839,tmj,11
1840,total knee,11
1841,transfusion,11
1842,type hypertension,11
1843,unsp,11
1844,unspecified acute,11
1845,used,11
1846,varicose veins,11
1847,vertebra,11
1848,vestibular,11
1849,vision,11
1850,vocal cord,11
1851,wound,11
1852,abnormality,10
1853,ac,10
1854,activation syndrome,10
1855,addisons,10
1856,afib chf,10
1857,aftercare,10
1858,agerelated osteoporosis,10
1859,alcoholism,10
1860,allergy induced,10
1861,allergy knownallergies,10
1862,allergy molds,10
1863,alopecia,10
1864,altered,10
1865,amputation,10
1866,anemia asthma,10
1867,ankylosing,10
1868,ankylosing spondylitis,10
1869,anterior,10
1870,anxiety adhd,10
1871,april,10
1872,asthma pcos,10
1873,asthma sleep,10
1874,asthma sleep apnea,10
1875,asymptomatic,10
1876,ataxia,10
1877,bacterial,10
1878,blood clots,10
1879,blood clotting disorder,10
1880,blood pressure cholesterol,10
1881,breast ca,10
1882,breast cancer remission,10
1883,breast cancer years,10
1884,cause,10
1885,cell activation syndrome,10
1886,central,10
1887,cervicalgia,10
1888,chiari,10
1889,cholesterol diabetes,10
1890,closed fracture,10
1891,colon polyps,10
1892,colonoscopy,10
1893,complete,10
1894,complex regional,10
1895,complex regional pain,10
1896,coordination,10
1897,copd cad,10
1898,copd diabetes,10
1899,copd htn,10
1900,coronary heart,10
1901,count,10
1902,couple,10
1903,current pathological fracture,10
1904,current use anticoagulants,10
1905,cvd,10
1906,death,10
1907,depression asthma,10
1908,depression insomnia,10
1909,depression obesity,10
1910,diabetes diabetic,10
1911,diabetes gerd,10
1912,diffuse,10
1913,disorder anxiety,10
1914,dm htn hyperlipidemia,10
1915,dmii,10
1916,e hyperlipidemia,10
1917,e hyperlipidemia unspecified,10
1918,e hypothyroidism,10
1919,e vitamin,10
1920,effect,10
1921,elevation,10
1922,endocrine disorder,10
1923,erectile,10
1924,excision,10
1925,exposure covid,10
1926,face,10
1927,failure copd,10
1928,failure hypertension,10
1929,fasciitis,10
1930,gene,10
1931,general,10
1932,gerd asthma,10
1933,gerd high,10
1934,gerd seasonal,10
1935,gerd seasonal allergies,10
1936,half,10
1937,hbp high,10
1938,hbp high cholesterol,10
1939,healing,10
1940,heart arrhythmia,10
1941,heart diabetes,10
1942,heart failure copd,10
1943,heart failure hypertension,10
1944,heart unspecified,10
1945,hi,10
1946,high triglycerides,10
1947,htn anxiety,10
1948,hx breast cancer,10
1949,hyperkalemia,10
1950,hypertension coronary,10
1951,hypertension diabetes mellitus,10
1952,hypertension sleep apnea,10
1953,immune system disorder,10
1954,immunocompromised,10
1955,infection site,10
1956,infection site specified,10
1957,insertion cardiac,10
1958,known physiological,10
1959,known physiological condition,10
1960,lasted,10
1961,level,10
1962,many years,10
1963,mellitus diabetic neuropathy,10
1964,mixed connective,10
1965,mixed connective tissue,10
1966,molds,10
1967,morbid severe,10
1968,morbid severe obesity,10
1969,mvp,10
1970,nephrolithiasis,10
1971,neurological,10
1972,nonalcoholic fatty,10
1973,nonalcoholic fatty liver,10
1974,orthostatic hypotension,10
1975,osa cpap,10
1976,osteoarthritis unspecified,10
1977,osteoporosis without,10
1978,osteoporosis without current,10
1979,pacemaker insertion cardiac,10
1980,pain arthritis,10
1981,parkinsonism,10
1982,passed,10
1983,pathological fracture,10
1984,periodic,10
1985,peripheral edema,10
1986,personality,10
1987,physiological condition,10
1988,polycystic ovary,10
1989,pressure cholesterol,10
1990,previously,10
1991,primary osteoarthritis,10
1992,procedure,10
1993,psychotic,10
1994,pure hypercholesterolemia,10
1995,reflux esophagitis,10
1996,reflux high,10
1997,regional,10
1998,regional pain,10
1999,regional pain syndrome,10
2000,rhinitis unspecified,10
2001,shortness,10
2002,shortness breath,10
2003,showed,10
2004,site specified,10
2005,stage unspecified,10
2006,strain,10
2007,subclinical,10
2008,sulfonamide allergy allergies,10
2009,suspected,10
2010,system disorder,10
2011,test positive,10
2012,thyroid nodules,10
2013,tinea,10
2014,tract infection site,10
2015,tremors,10
2016,tricuspid,10
2017,tube,10
2018,type dm htn,10
2019,type htn,10
2020,ulcers,10
2021,unspecified m,10
2022,unspecified management,10
2023,unspecified osteoarthritis,10
2024,unsteadiness,10
2025,unsteadiness feet,10
2026,vein thrombosis,10
2027,vomiting,10
2028,von,10
2029,went,10
2030,white,10
2031,without current,10
2032,without current pathological,10
2033,without longterm,10
2034,without longterm current,10
2035,x years,10
2036,acquired hypothyroidism,9
2037,actinic,9
2038,additional,9
2039,advanced dementia,9
2040,affecting right,9
2041,afib hypertension,9
2042,agerelated osteoporosis without,9
2043,allergic asthma,9
2044,allergy allergic,9
2045,allergy blood,9
2046,allergy induced asthma,9
2047,allergy latex,9
2048,artery hyperlipidemia,9
2049,arthritis gerd,9
2050,asthma adhd,9
2051,asthma eczema,9
2052,asthma food,9
2053,asthma ibs,9
2054,asthma penicillin,9
2055,asthma penicillin allergy,9
2056,attention deficit,9
2057,auto,9
2058,autoimmune hepatitis,9
2059,back disorder,9
2060,based,9
2061,biliary,9
2062,bipolar depression,9
2063,borderline diabetes,9
2064,born,9
2065,bursitis,9
2066,bypass graft,9
2067,cad coronary,9
2068,cad coronary artery,9
2069,calories,9
2070,cancer breast,9
2071,cardiac disorder,9
2072,cardiac murmur,9
2073,carrier,9
2074,case,9
2075,cervical radiculopathy,9
2076,chiari malformation,9
2077,cholesterol arthritis,9
2078,ckd dm,9
2079,clinical,9
2080,collapse,9
2081,colonic polyps,9
2082,controlled high,9
2083,copd dm,9
2084,coronary artery hyperlipidemia,9
2085,depression adhd,9
2086,developmental,9
2087,diabetes mellitus hyperlipidemia,9
2088,diagnosis diagnosis,9
2089,diagnosis secondary stay,9
2090,disorder thyroid,9
2091,dominant,9
2092,dominant side,9
2093,double,9
2094,dr,9
2095,due excess,9
2096,due excess calories,9
2097,dyspepsia,9
2098,e hypothyroidism unspecified,9
2099,edema unspecified,9
2100,elevated bp,9
2101,entered,9
2102,entered unlisted,9
2103,entered unlisted provider,9
2104,essential htn,9
2105,etoh,9
2106,except,9
2107,excess,9
2108,excess calories,9
2109,facial,9
2110,failure hcc,9
2111,feeding,9
2112,fibromyalgia arthritis,9
2113,fibromyalgia hypertension,9
2114,following cerebral,9
2115,following cerebral infarction,9
2116,fracture routine,9
2117,gall bladder,9
2118,generalized osteoarthritis,9
2119,gerd high cholesterol,9
2120,gi bleed,9
2121,glucose tolerance,9
2122,gluten intolerance,9
2123,gout hyperlipidemia,9
2124,ha,9
2125,heart bypass,9
2126,heart failure hcc,9
2127,hemiparesis following,9
2128,hemiplegia hemiparesis following,9
2129,hemiplegic,9
2130,hfref,9
2131,hidradenitis,9
2132,high high cholesterol,9
2133,however,9
2134,htn dyslipidemia,9
2135,htn hypothyroid,9
2136,hydrocephalus,9
2137,hypercholesterolemia hypertension,9
2138,hyperlipidemia bph,9
2139,hyperlipidemia depression,9
2140,hyperlipidemia diabetes,9
2141,hyperlipidemia hypertension hypothyroidism,9
2142,hypermobility,9
